symbol,title,ambiguous_ticker,ambiguous_title
bldp,ballard,False,False
bcrx,biocryst,False,False
vcel,vericel,False,False
gas,agl,True,False
qcom,qualcomm,False,False
iivi,ii-vi,False,False
plcm,"polycom,",False,False
bpz,bpz,False,False
vrgy,"verigy,",False,False
vrtx,vertex,False,True
hrb,h&r,False,False
hes,hess,False,False
yum,yum!,False,False
cyou,changyou.com,False,False
dgw,duoyuan,False,False
ncs,nci,False,False
zqk,quiksilver,False,False
slt,sterlite,False,False
merx,merix,False,False
altr,altair,False,True
nuan,nuance,False,True
nov,national,False,True
flir,flir,False,False
cxo,concho,False,False
cvs,cvs,False,False
bks,barnes,False,False
sne,sony,False,False
klac,kla-tencor,False,False
mco,moody's,False,False
lmlp,wells,False,False
appa,ap,False,False
pxp,plains,False,False
wdc,western,False,True
cski,china,False,True
cell,brightpoint,True,False
bc,brunswick,False,True
sco,proshares,False,False
gtat,gt,False,False
algt,allegiant,False,True
xlp,consumer,False,True
line,linn,True,True
gnw,genworth,False,False
ctel,city,False,True
dte,dte,False,False
eix,edison,False,False
oii,oceaneering,True,False
mtl,mechel,False,False
laz,lazard,True,False
wwr,westwater,False,False
frx,forest,False,True
myl,"mylan,",False,False
kbh,kb,False,False
jbss,john,False,True
pnk,pinnacle,False,True
lnc,lincoln,False,True
met,"metlife,",True,False
xrtx,xyratex,False,False
vmw,"vmware,",False,False
gme,gamestop,False,False
int,world,False,True
saycy,satyam,False,False
bni,burlington,False,True
rpm,rpm,False,False
cop,conocophillips,True,False
artg,art,False,True
kim,kimco,True,False
amkr,amkor,False,False
ceu,china,False,True
tst,"thestreet,",True,False
gure,gulf,False,True
tdg,transdigm,False,False
cco,clear,False,True
akam,akamai,False,False
kitd,kit,False,True
free,freeseas,True,False
cnx,consol,False,True
hpj,highpower,False,False
tell,tellurian,True,True
ufi,unifi,False,False
gpk,graphic,False,True
tpi,tianyin,False,False
nog,northern,True,True
bpop,popular,False,True
ely,callaway,False,False
ions,ionis,False,False
lxp,lexington,False,False
chu,china,False,True
ceph,cephalon,False,True
cse,capitalsource,False,False
llnw,limelight,False,True
mnta,momenta,False,True
jxi,ishares,False,False
blk,"blackrock,",False,False
nwli,national,False,True
ceo,cnooc,False,False
peix,pacific,False,True
udn,powershares,False,False
jnk,spdr,False,False
gwx,spdr,False,False
djp,ipath,False,False
vti,vanguard,False,True
matk,martek,False,False
shld,sears,False,False
bas,basic,True,True
adp,automatic,False,True
brcm,broadcom,False,False
lee,lee,True,True
aci,arch,False,True
jju,ipath,False,False
agq,proshares,False,False
gbpaud,british,False,True
abev,companhia,False,False
sprd,spreadtrum,False,False
sfy,swift,False,True
am,antero,True,False
rrd,r.r.,False,False
nxg,northgate,False,False
nus,nu,False,True
fmx,fomento,False,False
ewi,ishares,False,False
crmt,america's,False,False
cl,colgate-palmolive,False,False
tip,ishares,True,False
wrld,world,False,True
adlr,adolor,False,False
mtxx,matrixx,False,False
oc,owens,False,False
ori,old,False,True
pei,pennsylvania,False,True
schn,schnitzer,False,False
ga,giant,True,True
str,questar,False,False
mfn,minefinders,False,False
mro,marathon,False,True
vwo,vanguard,False,True
veu,vanguard,False,True
rwx,spdr,False,False
rfv,rydex,False,False
fdm,first,False,True
wcrx,warner,False,True
mmp,magellan,False,True
mic,macquarie,False,False
amx,america,False,True
byi,bally,False,True
eln,elan,False,False
get,gaylord,True,False
pg,procter,False,False
dow,the,True,True
mt,arcelor,False,False
act,actavis,True,False
rsh,radioshack,False,False
un,unilever,True,False
fxf,currencyshares,False,False
ach,aluminum,True,True
cpsl,china,False,True
cts,cts,False,False
scco,southern,False,True
rgld,royal,False,True
cci,crown,False,True
sbac,sba,False,False
asei,american,False,True
ddm,proshares,False,False
pvsw,pervasive,False,True
jjg,ipath,False,False
esi,itt,False,False
alb,albemarle,True,False
bdsi,biodelivery,False,False
kerx,keryx,False,True
brk.a,berkshire,False,True
crbc,citizens,False,False
tpx,tempur,False,False
phg,koninklijke,False,False
ewm,ishares,False,False
iai,ishares,False,False
amgn,amgen,False,False
crox,crocs,False,False
siro,sirona,False,False
bmr,biomed,False,False
drd,drdgold,False,False
ctxs,citrix,False,False
mdt,"medtronic,",False,False
thc,tenet,False,True
bam,brookfield,True,False
sfe,safeguard,False,True
iesc,integrated,False,False
cpa,copa,False,True
lly,eli,False,True
sny,sanofi-aventis,True,False
dht,dht,False,False
vmed,virgin,False,True
wern,werner,False,True
vod,vodafone,True,False
pten,patterson-uti,False,False
utx,united,False,True
ddssf,labopharm,False,False
bp,bp,False,False
db,deutsche,False,False
grrf,china,False,True
bjs,bj,False,False
rf,regions,False,False
bns,the,False,True
cm,canadian,False,True
imo,imperial,False,True
mur,murphy,False,True
avd,american,False,True
dyy,powershares,False,False
fdo,family,False,True
anw,aegean,False,True
otiv,on,False,True
snta,synta,False,False
lad,lithia,True,True
incy,incyte,False,False
ebix,ebix,False,False
gpre,green,False,True
meoh,methanex,False,False
arii,american,False,True
